date,year,house,debate_title,speaker,speech,word_count,matched_keywords,crypto_relevant,debate_id,source_url
2022-03-02,2022,Lords,Cryptocurrencies,Lord Haskel,To ask Her Majesty’s Government what steps they are taking to regulate and supervise the use of cryptocurrencies.,18,,No,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Baroness Penn (Con),"Her Majesty’s Treasury and UK authorities have taken a series of actions to support innovation while mitigating risks to stability and market integrity. These include launching a new anti-money laundering and counterterrorist financing regime for crypto assets in 2020, and consulting on a proposal to ensure that crypto assets, known as stablecoins, meet the same high standards expected of other payment methods. The Government will issue our response to this consultation shortly. In January, the Government announced our intention to legislate to bring certain crypto assets into the scope of financial promotions regulation, requiring them to be fair, clear and not misleading.",102,crypto asset; stablecoin; financial promotion,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Lord Haskel (Lab),"I thank the Minister for her response, which certainly deals with the marketing and promotion of crypto but does not deal with its actual use. For example, as reported in today’s Financial Times, crypto is being used as a way round the financial sanctions against Russia and can be used to get round the controls of the proposed economic crime Bill. Does the Minister agree with the Financial Stability Board that this poses a risk to the stability of traditional currencies and public security? Will the Government listen to these concerns and apply strong, prudential controls? Most importantly, will they give agencies the resources and powers to enforce controls, and, for example, call on the G20 to co-ordinate international regulation and supervision?",122,,No,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Baroness Penn (Con),"In my original Answer I did not only talk about the financial promotion of crypto assets; I also talked about the regulation of stablecoin. In response to the noble Lord’s point about the anti-money laundering regulations and counterterrorist financing regulations which apply to crypto assets, I would like to reassure noble Lords that the regulations imposing sanctions on Russia apply to crypto assets. Legislation being introduced this week in the economic crime Bill will give the Office of Financial Sanctions Implementation the powers it needs to enforce financial sanctions.",89,crypto asset; stablecoin; financial promotion,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Lord Forsyth of Drumlean (Con),"Does my noble friend not think that the point made by the noble Lord, Lord Haskel, is very important in the current context of sanctions? Is it a practical proposition to ask the providers of cryptocurrency facilities to remove from their list anyone with a Russian email address?",48,cryptocurrency,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Baroness Penn (Con),"I absolutely agree on the importance of this issue. On firms placing blocks on Russian transactions, the Government and the FCA have communicated with crypto firms to ensure that they understand their obligations with regards to sanctions, which include applying risk-based controls to mitigate the risk of sanctions evasion. However, we do not require that all Russian persons have their accounts suspended or frozen; that would not be in line with our current approach.",74,,No,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Lord Cromwell (CB),"Does the Minister agree that cryptocurrencies, which are unfortunately named, and all digital assets are widely misunderstood? Does she further agree that they are here, we have them—more than 3 million people in this country already hold them—and when they are properly regulated, as the noble Lord, Lord Haskel, would have us do, they will be an important and innovative growth opportunity for the UK economy? Cryptocurrencies were referred to by another noble Lord this week as “the beast”. Will the Minister be “the beauty” whose good offices turn the beast into a handsome prince?",95,digital asset,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Baroness Penn (Con),"I agree with all the points that the noble Lord makes. Earlier this week I tried to emphasise that, while we are cognisant of risks from certain types of crypto assets and will regulate appropriately, we are also keen to see the opportunities for the technology that lies behind these and want to promote innovation in a secure way.",59,crypto asset,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Lord Browne of Ladyton (Lab),"My Lords, I cannot resist the temptation to engage a Minister on this issue for the third day in a row. From January 2020 firms carrying out crypto asset activities in the UK have had to comply with the money laundering, terrorist financing and transfer of funds regulations and to register with the FCA. The FCA helpfully publish a list of 220 or more businesses that appear to be, in its words,
“carrying on crypto asset activity that is not registered with (the FCA)”
for anti-money laundering purposes. I have given the Minister notice of my question, which is: why are we allowing—if we are—non-compliant crypto asset businesses to trade with impunity, and when can we expect that they will be put out of business?",125,crypto asset,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Baroness Penn (Con),"I hope the third time is at least in part the charm. It is a criminal offence for a crypto asset exchange provider or custodian wallet provider to operate in the UK without anti-money laundering registration, and the FCA is empowered to take enforcement action against such a firm and its offices. The FCA is contacting firms on this list to establish whether they are operating in the UK, and it will take appropriate follow-up action.",76,crypto asset,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
