date,year,house,debate_title,speaker,speech,word_count,matched_keywords,crypto_relevant,debate_id,source_url
2022-03-02,2022,Lords,Cryptocurrencies,Lord Bridges of Headley (Con),"My Lords, I would like to pick my noble friend up on the Answer she gave to the noble Lord, Lord Haskel. My understanding is that the Government have consulted on the Financial Action Task Force’s recommendation that international standards be brought in to clamp down on crypto- currencies being used for money laundering, terrorist financing and sanctions busting. There was a consultation last summer, and my understanding is that it ended on 14 October. Can she be very precise, given the current international situation and crisis we are in: when will the Government implement these recommendations?",97,,No,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Baroness Penn (Con),"My Lords, I will have to write to my noble friend with the precise answer to that question, but I can say that there were discussions at the G7 yesterday, in part on this issue, following which we are considering how the UK along with its allies can prevent crypto assets emerging as loopholes to evade sanctions. Also, at an international level we will seek to intensify our lobbying efforts to drive improved anti-money laundering and counterterrorist financing regulation, licensing and supervision across other jurisdictions, as well as the UK.",90,crypto asset,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Baroness Kramer (LD),"My Lords, at this moment, thanks to economic sanctions, ordinary Russians effectively cannot transfer from roubles into currencies such as dollars and pounds, but they can move into crypto if they are not one of the named sanctioned individuals. There are exceptions: the exchange Coinbase has shut Russia out entirely, and so have some others. Binance has not and, notably, is registered in the Cayman Islands. On Monday, the Minister said she would look to talk to those exchanges and make sure that they understood that they had to follow the advice of the Ukrainian Government and shut out Russia. Has she done so, and why are the Cayman Islands not co-operating?",112,,No,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Baroness Penn (Con),"My Lords, I did take the point that the noble Baroness raised back to the Treasury. As I said in an earlier answer, on blocking Russian transactions, the position is that firms are currently obliged to apply risk-based controls to mitigate the risk of sanctions evasion, rather than taking a blanket approach.",52,,No,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Lord Young of Cookham (Con),"My Lords, further to the question from the noble Lord, Lord Cromwell, I do indeed believe that this is a beast that needs to be tamed. Has my noble friend read the comments of the Governor of the Bank of England, who said of cryptos:
“It’s not a financial stability issue today, but it has all the potential to be one, particularly if the system starts getting leverage into it”?
Does this not underline the need for some sort of regulation if we are to avoid the problems we saw in 2008, when financial institutions and others dealt with products that were not fully understood and not properly regulated, leading to a major recession?",114,,No,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Baroness Penn (Con),"My Lords, I have indeed read those comments by the Governor of the Bank of England. My noble friend is absolutely right that the situation is dynamic and the market in crypto assets is growing. That is why the Bank of England is monitoring crypto assets’ financial stability. It is also why the Cryptoassets Taskforce, the Treasury, the Financial Conduct Authority and Bank of England are taking an approach to regulate aspects of crypto assets, particularly those that pose the greatest threat to our financial stability.",86,cryptoasset; crypto asset,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Lord Sikka (Lab),"My Lords, there is no specific tax legislation relating to cryptocurrency assets, so holders of them are instead covered by broader tax rules, which is highly unsatisfactory. How long do the Government need to deal with this problem?",38,cryptocurrency,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-03-02,2022,Lords,Cryptocurrencies,Baroness Penn (Con),"My Lords, profits from trading in and gains from disposing of crypto assets are taxed in the same way and at the same rate as those from other assets, as the noble Lord says. HMRC’s Cryptoassets Manual is one of the most detailed publications from any tax administration and explains the tax consequences for different types of transactions involving crypto assets, for both businesses accepting them and individuals using them.",70,cryptoasset; crypto asset,Yes,20839EDD-2BB8-44D8-A31D-437D5EA7AB82,https://hansard.parliament.uk/debates/GetDebateAsText/20839EDD-2BB8-44D8-A31D-437D5EA7AB82
2022-07-21,2022,Lords,Crypto Asset Technology,Lord Davidson of Glen Clova,To ask Her Majesty’s Government what progress they have made towards their ambition to make the United Kingdom a global cryptoasset technology hub.,23,cryptoasset,Yes,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
2022-07-21,2022,Lords,Crypto Asset Technology,Baroness Penn (Con),"The Government’s clear message to crypto asset firms is that the UK is open for business. The Government have announced a range of reforms to position the UK as a crypto asset technology hub, including legislating to bring stablecoins into payments regulation, committing to consult on regulation on a broader set of crypto asset activities later this year and exploring ways to enhance the competitiveness of the UK tax system to further encourage the development of the crypto asset market.",80,crypto asset; stablecoin,Yes,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
