date,debate_title,parent_debate_id,target_debate_id,reason
2022-02-28,Crypto Currencies,850c7f21-f2d8-4e90-8a1b-bb8491356f61,4B78BE5E-DB18-4107-A3D8-047D4E9B26A8,"Registry URL points to the whole Lords Chamber; target ID is the Crypto Currencies child debate."
2023-01-25,Cryptocurrency Regulation,ee4d6d07-ff6f-4b0d-8d1a-6c2b4ac3951d,D186A65F-164B-4C7D-8819-BBA4EBA41660,"Registry URL points to the whole Westminster Hall sitting; target ID is the Cryptocurrency Regulation child debate."
