institution,mentions_in_contributions,unique_debates,mean_topic_0,weight_topic_0,mean_topic_1,weight_topic_1,mean_topic_2,weight_topic_2,mean_topic_3,weight_topic_3,mean_topic_4,weight_topic_4
FCA,74,19,0.21060599678764164,15.584843762285482,0.5361572981255112,39.67564006128783,0.036775121291652786,2.721358975582306,0.1470865467410405,10.884404458836997,0.06937503705415389,5.133752742007387
Law Commission,48,7,0.051116602362107855,2.453596913381177,0.0604201131365222,2.9001654305530655,0.04555769187082184,2.1867692097994484,0.1436449141324774,6.894955878358915,0.6992606784980707,33.56451256790739
Bank of England,37,18,0.2719327904367922,10.061513246161311,0.35083716127373354,12.980974967128141,0.026432697368156687,0.9780098026217975,0.3068921118326141,11.355008137806722,0.04390523908870343,1.6244938462820269
Treasury Committee,8,6,0.6090578057123321,4.872462445698657,0.24782310448586245,1.9825848358868996,0.028113431203662265,0.22490744962929812,0.11402872046670087,0.912229763733607,0.0009769381314422387,0.00781550505153791
HM Treasury,4,3,0.5866323351197972,2.3465293404791887,0.3583245133258015,1.433298053303206,0.020541787006310104,0.08216714802524042,0.01952330521228009,0.07809322084912036,0.014978059335811157,0.05991223734324463
FSB,4,3,0.003305557394158337,0.013222229576633347,0.9542535236645027,3.8170140946580107,0.035862653345402506,0.14345061338161003,0.003301294015838581,0.013205176063354324,0.0032769715800979346,0.013107886320391738
FATF,1,1,0.23311760083681074,0.23311760083681074,0.7519061694302966,0.7519061694302966,0.005032401088083607,0.005032401088083607,0.004979395085269663,0.004979395085269663,0.00496443355953955,0.00496443355953955
