year,topic_0,topic_1,topic_2,topic_3,topic_4
2020,,,,,
2021,0.4289073706654358,0.0790124068207794,0.03955257426735855,0.3701072980352723,0.08242035021115392
2022,0.15708419344813382,0.5336457679668029,0.1019022100842113,0.18394361212123236,0.02342421637961965
2023,0.2826618444034136,0.4065607626191165,0.04917000928615557,0.25111462046874977,0.010492763222564566
2024,0.06149708199524564,0.05034166236752241,0.43849113639344073,0.25113728669045937,0.1985328325533318
2025,0.11714356814570451,0.12619619366252444,0.049805751916387725,0.1772745240227935,0.5295799622525899
