k,npmi_coherence,topic_diversity_top12,mean_seed_stability,perplexity,selected
4,0.3499164588626393,0.9166666666666666,0.7978042438443147,2091.624554074832,False
5,0.3594199866276998,0.8333333333333334,0.7920636249491819,2140.4041562264033,True
6,0.33724588234577274,0.7638888888888888,0.7660230274236614,2208.3331291760096,False
7,0.3320905173404024,0.7619047619047619,0.7286822304106079,2262.053367497635,False
8,0.32192606936892054,0.6979166666666666,0.6926643316374835,2285.167708450356,False
