speaker,contributions,words,weight_topic_0,weight_topic_1,weight_topic_2,weight_topic_3,weight_topic_4,mean_topic_0,mean_topic_1,mean_topic_2,mean_topic_3,mean_topic_4,total_topic_weight
Abena Oppong-Asare,3,798,0.17660652207866978,1.999861688460685,0.5444499272332182,0.26373352559528745,0.015348336632139605,0.058868840692889925,0.6666205628202283,0.18148330907773938,0.08791117519842916,0.005116112210713202,3.0
Alexander Stafford,3,856,0.01682352461357657,1.5559252044398084,0.19388985195165098,0.645551195630607,0.5878102233643568,0.005607841537858857,0.5186417348132695,0.06462995065055033,0.215183731876869,0.1959367411214523,3.0
Chris Philp,3,1414,0.0025784761321113892,0.0025745242527145397,2.989685508723303,0.0025766188005207323,0.0025848720913505758,0.0008594920440371297,0.0008581747509048466,0.9965618362411011,0.0008588729335069108,0.0008616240304501919,3.0
Emma Reynolds,3,320,1.6657410417774816,1.2556292334411723,0.026207388807254407,0.026165763669035714,0.026256572305056416,0.5552470139258272,0.4185430778137241,0.008735796269084802,0.008721921223011905,0.008752190768352139,3.0
Kit Malthouse,3,1530,0.26864208076787577,0.10984603410669742,0.181189769830218,2.434195316494123,0.006126798801085855,0.0895473602559586,0.036615344702232475,0.060396589943406,0.8113984388313743,0.0020422662670286184,3.0
Lord Bridges of Headley,3,2504,0.9747517145761901,1.0385902940541845,0.006082793270641433,0.9745532463018747,0.0060219517971095956,0.32491723819206336,0.34619676468472815,0.002027597756880478,0.3248510821006249,0.0020073172657031984,3.0
Lord Vaizey of Didcot,3,1604,0.3094521495011199,2.01927411284865,0.07481140405876052,0.36571529605595204,0.23074703753551754,0.10315071650037329,0.6730913709495501,0.02493713468625351,0.12190509868531735,0.07691567917850585,3.0
Lord Young of Cookham,3,226,1.0519023534558016,0.03192329054022713,0.5527821409952467,1.3320412833092086,0.03135093169951589,0.35063411781860054,0.010641096846742375,0.18426071366508223,0.4440137611030695,0.010450310566505297,3.0
The Chair,3,116,0.322741316950208,0.07815517272962441,2.445475207788509,0.07658743540397316,0.07704086712768501,0.10758043898340268,0.026051724243208136,0.8151584025961697,0.02552914513465772,0.02568028904256167,3.0
"The Parliamentary Under-Secretary of State, Ministry of Justice (Lord Ponsonby of Shulbrede)",3,2188,0.002150009298071509,0.0021579589094455703,0.0505381009951175,0.00216290165144573,2.9429910291459196,0.0007166697660238363,0.0007193196364818568,0.016846033665039166,0.0007209672171485767,0.9809970097153066,3.0
Tulip Siddiq,3,1949,1.8858516613060265,0.42488501125488526,0.6314456263640965,0.0028035319042370044,0.05501416917075482,0.6286172204353422,0.14162833708496175,0.21048187545469885,0.0009345106347456682,0.018338056390251607,3.0
Baroness Altmann,3,260,0.4756773111356376,1.7920216718139017,0.13753760849739935,0.5101343775817636,0.08462903097129776,0.1585591037118792,0.5973405572713005,0.045845869499133114,0.17004479252725455,0.028209676990432586,2.9999999999999996
Lord Cromwell,3,999,0.7684423881747413,1.208137082251352,0.18130272898196392,0.6820317668866274,0.16008603370531513,0.2561474627249138,0.40271236075045064,0.060434242993987974,0.22734392229554246,0.05336201123510504,2.9999999999999996
Abena Oppong-Asare (Erith and Thamesmead),2,2147,0.43961378153971276,1.5577700294503813,0.0008733028678720657,0.0008777958540335182,0.0008650902880004842,0.21980689076985638,0.7788850147251907,0.00043665143393603286,0.0004388979270167591,0.0004325451440002421,2.0
Baroness Bennett of Manor Castle (GP),2,1403,0.29119610995099277,0.29074547739302437,0.4102757850431115,0.906513278588666,0.10126934902420544,0.14559805497549638,0.14537273869651218,0.20513789252155576,0.453256639294333,0.05063467451210272,2.0
Dame Angela Eagle,2,2202,1.009270970622121,0.0027721385880290937,0.038865462386592456,0.6929102114409389,0.2561812169623186,0.5046354853110605,0.0013860692940145468,0.019432731193296228,0.34645510572046945,0.1280906084811593,2.0
Lord Browne of Ladyton,2,251,0.009508530422538861,1.8315569757266053,0.13994332200607895,0.009528924906750606,0.0094622469380264,0.0047542652112694305,0.9157784878633026,0.06997166100303948,0.004764462453375303,0.0047311234690132,2.0
Lord Haskel,2,141,0.023685016299217307,0.8766065666515844,1.0522273703715357,0.024039170070497835,0.023441876607164663,0.011842508149608653,0.4383032833257922,0.5261136851857678,0.012019585035248918,0.011720938303582331,2.0
Lord Holmes of Richmond (Con) [V],2,429,0.30445051047056954,0.26505618753871585,0.04302076239972644,0.8140207527651455,0.5734517868258429,0.15222525523528477,0.13252809376935792,0.02151038119986322,0.40701037638257276,0.28672589341292143,2.0
Lord Meston,2,1361,0.007522144380825818,0.12149245163612539,0.13576403531863668,0.783285478771605,0.9519358898928072,0.003761072190412909,0.060746225818062695,0.06788201765931834,0.3916427393858025,0.4759679449464036,2.0
Lord Thomas of Cwmgiedd,2,731,0.010059671444677678,0.010100252378181481,0.01008307399363396,1.0210038779178436,0.9487531242656634,0.005029835722338839,0.005050126189090741,0.00504153699681698,0.5105019389589218,0.4743765621328317,2.0
Mr Will Forster (Woking),2,1023,0.0014909250886957462,0.06469042822598874,0.0014846604430933281,0.0014913950965075333,1.9308425911457148,0.0007454625443478731,0.03234521411299437,0.0007423302215466641,0.0007456975482537666,0.9654212955728574,2.0
Peter Grant (Glenrothes),2,3195,0.4608992380822454,0.8671625042371189,0.0703731545938362,0.6006920008134764,0.0008731022733230508,0.2304496190411227,0.43358125211855947,0.0351865772969181,0.3003460004067382,0.0004365511366615254,2.0
The Lord Bishop of St Albans,2,718,0.45235835421704956,1.5098905941002903,0.006105557349774313,0.0062282633253516835,0.025417231007534236,0.22617917710852478,0.7549452970501451,0.0030527786748871565,0.0031141316626758417,0.012708615503767118,2.0
Tulip Siddiq (Hampstead and Kilburn),2,522,0.3314102194165492,1.4183547525405409,0.11041393807059018,0.006678074291797906,0.13314301568052195,0.1657051097082746,0.7091773762702704,0.05520696903529509,0.003339037145898953,0.06657150784026097,2.0
Alun Cairns (Vale of Glamorgan),2,825,0.7235184442786581,1.2647227661809322,0.0038856796516282426,0.003941801874992766,0.003931308013788678,0.36175922213932904,0.6323613830904661,0.0019428398258141213,0.001970900937496383,0.001965654006894339,1.9999999999999998
