date,debate_title,source_url,http_status,parse_status,contributions_parsed,seconds
2023-05-02,Financial Services and Markets Act 2000 (Financial Promotion) (Amendment) Order 2023,https://hansard.parliament.uk/commons/2023-05-02/debates/0168303e-b364-4ae5-890c-2678af7d2b20/GeneralCommittees,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/commons/2023-05-02/debates/0168303e-b364-4ae5-890c-2678af7d2b20/GeneralCommittees,0,0.05
2023-05-02,Financial Services and Markets Act 2000 (Financial Promotion) (Amendment) Order 2023,https://hansard.parliament.uk/Lords/2023-05-02/debates/9A585683-0336-4E75-9D92-E69A588AD099/details,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/Lords/2023-05-02/debates/9A585683-0336-4E75-9D92-E69A588AD099/details,0,0.05
2023-06-13,Cryptocurrency Regulation,https://hansard.parliament.uk/Commons/2023-06-13/debates/2661F803-E8CE-4255-BD72-3EAC7F13F6F9/CryptocurrencyRegulation,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/Commons/2023-06-13/debates/2661F803-E8CE-4255-BD72-3EAC7F13F6F9/CryptocurrencyRegulation,0,0.05
2023-06-26,Financial Services and Markets Bill,https://hansard.parliament.uk/Commons/2023-06-26/debates/9B8A98E0-2461-4FD8-A48D-6D8A5031EB5F/FinancialServicesAndMarketsBill,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/Commons/2023-06-26/debates/9B8A98E0-2461-4FD8-A48D-6D8A5031EB5F/FinancialServicesAndMarketsBill,0,0.05
2024-04-16,"Proceeds of Crime Act 2002 (Search, Recovery of Crypto Assets and Investigations) Regulations 2024",https://hansard.parliament.uk/Commons/2024-04-16?showNoDebateMessage=True,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/Commons/2024-04-16?showNoDebateMessage=True,0,0.05
2024-11-06,Property (Digital Assets etc) Bill,https://hansard.parliament.uk/Lords/2024-11-06/debates/3FEB0846-1D4D-4CD3-A53A-78D482D03137/Property%28DigitalAssetsEtc%29Bill,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/Lords/2024-11-06/debates/3FEB0846-1D4D-4CD3-A53A-78D482D03137/Property%28DigitalAssetsEtc%29Bill,0,0.05
2024-11-13,Cryptoasset consequential amendments / Proceeds of Crime,https://hansard.parliament.uk/html/%E2%80%8CCommons/2024-11-13/GeneralCommittees,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/html/%E2%80%8CCommons/2024-11-13/GeneralCommittees,0,0.06
2025-01-30,Finance Bill (Fourth sitting),https://hansard.parliament.uk/Commons/2025-01-30/debates/9c2ce534-2916-493a-9645-ddef3bfc70b2/a,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/Commons/2025-01-30/debates/9c2ce534-2916-493a-9645-ddef3bfc70b2/a,0,0.05
2025-02-03,Property (Digital Assets etc) Bill [HL],https://hansard.parliament.uk/Lords/2025-02-03/debates/EFC229CF-8681-4D43-A655-975A3B7BFA40/Property%28DigitalAssetsEtc%29Bill%28HL%29,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/Lords/2025-02-03/debates/EFC229CF-8681-4D43-A655-975A3B7BFA40/Property%28DigitalAssetsEtc%29Bill%28HL%29,0,0.05
2025-04-30,Property (Digital Assets etc) Bill [HL],https://hansard.parliament.uk/lords/2025-04-30/debates/C168A66F-D4E0-4FA0-8E1C-6AC9A622F109/Property%28DigitalAssetsEtc%29Bill%28HL%29,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/lords/2025-04-30/debates/C168A66F-D4E0-4FA0-8E1C-6AC9A622F109/Property%28DigitalAssetsEtc%29Bill%28HL%29,0,0.05
2025-07-16,Property (Digital Assets etc) Bill [Lords],https://hansard.parliament.uk/Commons/2025-07-16/debates/D12881DE-1983-4AED-B1FE-712D50FBFFFC/Property%28DigitalAssetsEtc%29Bill%28Lords%29,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/Commons/2025-07-16/debates/D12881DE-1983-4AED-B1FE-712D50FBFFFC/Property%28DigitalAssetsEtc%29Bill%28Lords%29,0,0.05
2025-11-12,Cryptocurrencies: US Regulation,https://hansard.parliament.uk/Lords/2025-11-12/debates/83F52BF9-BF6E-482B-8F99-30ADD5906594/CryptocurrenciesUsRegulation,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/Lords/2025-11-12/debates/83F52BF9-BF6E-482B-8F99-30ADD5906594/CryptocurrenciesUsRegulation,0,0.05
2025-11-19,Property (Digital Assets etc) Bill [Lords],https://hansard.parliament.uk/Commons/2025-11-19/debates/4EB436CD-083B-4993-BBB9-51374732220C/PropertyDigitalAssetsEtcBillLords,403,ERROR: HTTPError: 403 Client Error: Forbidden for url: https://hansard.parliament.uk/Commons/2025-11-19/debates/4EB436CD-083B-4993-BBB9-51374732220C/PropertyDigitalAssetsEtcBillLords,0,0.05
