speaker,contributions,topic,weight,mean_probability
Lord Bassam of Brighton,4,2,0.037313076145123386,0.009328269036280847
Lord Bassam of Brighton,4,3,1.5886815633438756,0.3971703908359689
Lord Bassam of Brighton,4,4,1.9765056746436158,0.49412641866090395
Sarah Sackman,4,0,1.8174491592062676,0.4543622898015669
Sarah Sackman,4,1,0.006421211354039642,0.0016053028385099105
Sarah Sackman,4,2,0.006375281020179999,0.0015938202550449998
Sarah Sackman,4,3,0.006358177285043157,0.0015895443212607893
Sarah Sackman,4,4,2.16339617113447,0.5408490427836175
"Dr Lisa Cameron (East Kilbride, Strathaven and Lesmahagow)",3,0,0.44363782059424245,0.14787927353141414
"Dr Lisa Cameron (East Kilbride, Strathaven and Lesmahagow)",3,1,2.1647563419948415,0.7215854473316138
"Dr Lisa Cameron (East Kilbride, Strathaven and Lesmahagow)",3,2,0.007027919134975914,0.002342639711658638
"Dr Lisa Cameron (East Kilbride, Strathaven and Lesmahagow)",3,3,0.33197932090243243,0.11065977363414414
"Dr Lisa Cameron (East Kilbride, Strathaven and Lesmahagow)",3,4,0.05259859737350823,0.01753286579116941
Lord Sikka,3,0,1.1661582233846943,0.3887194077948981
Lord Sikka,3,1,0.5226345447991503,0.1742115149330501
Lord Sikka,3,2,1.2770833324376492,0.42569444414588303
Lord Sikka,3,3,0.017199656809119113,0.005733218936373037
Lord Sikka,3,4,0.016924242569387397,0.005641414189795799
Martin Docherty-Hughes (West Dunbartonshire),3,0,0.005835818327273647,0.0019452727757578823
Martin Docherty-Hughes (West Dunbartonshire),3,1,2.458852620880678,0.8196175402935593
Martin Docherty-Hughes (West Dunbartonshire),3,2,0.005739950575829285,0.0019133168586097616
Martin Docherty-Hughes (West Dunbartonshire),3,3,0.5238057636101691,0.1746019212033897
Martin Docherty-Hughes (West Dunbartonshire),3,4,0.005765846606050211,0.0019219488686834036
Peter Grant,3,0,0.012022667283515736,0.004007555761171912
Peter Grant,3,1,0.5333049887583745,0.17776832958612485
Peter Grant,3,2,0.01199981229230175,0.00399993743076725
Peter Grant,3,3,2.2830158091752906,0.7610052697250969
Peter Grant,3,4,0.1596567224905177,0.05321890749683924
"The Parliamentary Secretary, HM Treasury (Baroness Penn)",3,0,1.0337731414865658,0.34459104716218864
"The Parliamentary Secretary, HM Treasury (Baroness Penn)",3,1,1.1878631073442496,0.39595436911474985
"The Parliamentary Secretary, HM Treasury (Baroness Penn)",3,2,0.0007951868887161182,0.0002650622962387061
"The Parliamentary Secretary, HM Treasury (Baroness Penn)",3,3,0.7767734240388725,0.25892447467962415
"The Parliamentary Secretary, HM Treasury (Baroness Penn)",3,4,0.000795140241596097,0.00026504674719869903
Abena Oppong-Asare,3,0,0.17660652207866978,0.058868840692889925
Abena Oppong-Asare,3,1,1.999861688460685,0.6666205628202283
Abena Oppong-Asare,3,2,0.5444499272332182,0.18148330907773938
Abena Oppong-Asare,3,3,0.26373352559528745,0.08791117519842916
Abena Oppong-Asare,3,4,0.015348336632139605,0.005116112210713202
Alexander Stafford,3,0,0.01682352461357657,0.005607841537858857
Alexander Stafford,3,1,1.5559252044398084,0.5186417348132695
Alexander Stafford,3,2,0.19388985195165098,0.06462995065055033
Alexander Stafford,3,3,0.645551195630607,0.215183731876869
Alexander Stafford,3,4,0.5878102233643568,0.1959367411214523
Chris Philp,3,0,0.0025784761321113892,0.0008594920440371297
Chris Philp,3,1,0.0025745242527145397,0.0008581747509048466
Chris Philp,3,2,2.989685508723303,0.9965618362411011
Chris Philp,3,3,0.0025766188005207323,0.0008588729335069108
Chris Philp,3,4,0.0025848720913505758,0.0008616240304501919
Emma Reynolds,3,0,1.6657410417774816,0.5552470139258272
Emma Reynolds,3,1,1.2556292334411723,0.4185430778137241
Emma Reynolds,3,2,0.026207388807254407,0.008735796269084802
Emma Reynolds,3,3,0.026165763669035714,0.008721921223011905
Emma Reynolds,3,4,0.026256572305056416,0.008752190768352139
Kit Malthouse,3,0,0.26864208076787577,0.0895473602559586
Kit Malthouse,3,1,0.10984603410669742,0.036615344702232475
Kit Malthouse,3,2,0.181189769830218,0.060396589943406
Kit Malthouse,3,3,2.434195316494123,0.8113984388313743
Kit Malthouse,3,4,0.006126798801085855,0.0020422662670286184
Lord Bridges of Headley,3,0,0.9747517145761901,0.32491723819206336
Lord Bridges of Headley,3,1,1.0385902940541845,0.34619676468472815
Lord Bridges of Headley,3,2,0.006082793270641433,0.002027597756880478
Lord Bridges of Headley,3,3,0.9745532463018747,0.3248510821006249
Lord Bridges of Headley,3,4,0.0060219517971095956,0.0020073172657031984
Lord Vaizey of Didcot,3,0,0.3094521495011199,0.10315071650037329
Lord Vaizey of Didcot,3,1,2.01927411284865,0.6730913709495501
Lord Vaizey of Didcot,3,2,0.07481140405876052,0.02493713468625351
Lord Vaizey of Didcot,3,3,0.36571529605595204,0.12190509868531735
Lord Vaizey of Didcot,3,4,0.23074703753551754,0.07691567917850585
Lord Young of Cookham,3,0,1.0519023534558016,0.35063411781860054
Lord Young of Cookham,3,1,0.03192329054022713,0.010641096846742375
Lord Young of Cookham,3,2,0.5527821409952467,0.18426071366508223
Lord Young of Cookham,3,3,1.3320412833092086,0.4440137611030695
Lord Young of Cookham,3,4,0.03135093169951589,0.010450310566505297
The Chair,3,0,0.322741316950208,0.10758043898340268
The Chair,3,1,0.07815517272962441,0.026051724243208136
The Chair,3,2,2.445475207788509,0.8151584025961697
The Chair,3,3,0.07658743540397316,0.02552914513465772
The Chair,3,4,0.07704086712768501,0.02568028904256167
"The Parliamentary Under-Secretary of State, Ministry of Justice (Lord Ponsonby of Shulbrede)",3,0,0.002150009298071509,0.0007166697660238363
"The Parliamentary Under-Secretary of State, Ministry of Justice (Lord Ponsonby of Shulbrede)",3,1,0.0021579589094455703,0.0007193196364818568
"The Parliamentary Under-Secretary of State, Ministry of Justice (Lord Ponsonby of Shulbrede)",3,2,0.0505381009951175,0.016846033665039166
"The Parliamentary Under-Secretary of State, Ministry of Justice (Lord Ponsonby of Shulbrede)",3,3,0.00216290165144573,0.0007209672171485767
"The Parliamentary Under-Secretary of State, Ministry of Justice (Lord Ponsonby of Shulbrede)",3,4,2.9429910291459196,0.9809970097153066
Tulip Siddiq,3,0,1.8858516613060265,0.6286172204353422
Tulip Siddiq,3,1,0.42488501125488526,0.14162833708496175
Tulip Siddiq,3,2,0.6314456263640965,0.21048187545469885
Tulip Siddiq,3,3,0.0028035319042370044,0.0009345106347456682
Tulip Siddiq,3,4,0.05501416917075482,0.018338056390251607
Baroness Altmann,3,0,0.4756773111356376,0.1585591037118792
Baroness Altmann,3,1,1.7920216718139017,0.5973405572713005
Baroness Altmann,3,2,0.13753760849739935,0.045845869499133114
Baroness Altmann,3,3,0.5101343775817636,0.17004479252725455
Baroness Altmann,3,4,0.08462903097129776,0.028209676990432586
Lord Cromwell,3,0,0.7684423881747413,0.2561474627249138
Lord Cromwell,3,1,1.208137082251352,0.40271236075045064
Lord Cromwell,3,2,0.18130272898196392,0.060434242993987974
Lord Cromwell,3,3,0.6820317668866274,0.22734392229554246
Lord Cromwell,3,4,0.16008603370531513,0.05336201123510504
Abena Oppong-Asare (Erith and Thamesmead),2,0,0.43961378153971276,0.21980689076985638
Abena Oppong-Asare (Erith and Thamesmead),2,1,1.5577700294503813,0.7788850147251907
Abena Oppong-Asare (Erith and Thamesmead),2,2,0.0008733028678720657,0.00043665143393603286
Abena Oppong-Asare (Erith and Thamesmead),2,3,0.0008777958540335182,0.0004388979270167591
Abena Oppong-Asare (Erith and Thamesmead),2,4,0.0008650902880004842,0.0004325451440002421
Baroness Bennett of Manor Castle (GP),2,0,0.29119610995099277,0.14559805497549638
Baroness Bennett of Manor Castle (GP),2,1,0.29074547739302437,0.14537273869651218
Baroness Bennett of Manor Castle (GP),2,2,0.4102757850431115,0.20513789252155576
Baroness Bennett of Manor Castle (GP),2,3,0.906513278588666,0.453256639294333
Baroness Bennett of Manor Castle (GP),2,4,0.10126934902420544,0.05063467451210272
Dame Angela Eagle,2,0,1.009270970622121,0.5046354853110605
Dame Angela Eagle,2,1,0.0027721385880290937,0.0013860692940145468
Dame Angela Eagle,2,2,0.038865462386592456,0.019432731193296228
Dame Angela Eagle,2,3,0.6929102114409389,0.34645510572046945
Dame Angela Eagle,2,4,0.2561812169623186,0.1280906084811593
Lord Browne of Ladyton,2,0,0.009508530422538861,0.0047542652112694305
Lord Browne of Ladyton,2,1,1.8315569757266053,0.9157784878633026
Lord Browne of Ladyton,2,2,0.13994332200607895,0.06997166100303948
Lord Browne of Ladyton,2,3,0.009528924906750606,0.004764462453375303
Lord Browne of Ladyton,2,4,0.0094622469380264,0.0047311234690132
Lord Haskel,2,0,0.023685016299217307,0.011842508149608653
Lord Haskel,2,1,0.8766065666515844,0.4383032833257922
Lord Haskel,2,2,1.0522273703715357,0.5261136851857678
Lord Haskel,2,3,0.024039170070497835,0.012019585035248918
Lord Haskel,2,4,0.023441876607164663,0.011720938303582331
Lord Holmes of Richmond (Con) [V],2,0,0.30445051047056954,0.15222525523528477
Lord Holmes of Richmond (Con) [V],2,1,0.26505618753871585,0.13252809376935792
Lord Holmes of Richmond (Con) [V],2,2,0.04302076239972644,0.02151038119986322
Lord Holmes of Richmond (Con) [V],2,3,0.8140207527651455,0.40701037638257276
Lord Holmes of Richmond (Con) [V],2,4,0.5734517868258429,0.28672589341292143
Lord Meston,2,0,0.007522144380825818,0.003761072190412909
Lord Meston,2,1,0.12149245163612539,0.060746225818062695
Lord Meston,2,2,0.13576403531863668,0.06788201765931834
Lord Meston,2,3,0.783285478771605,0.3916427393858025
Lord Meston,2,4,0.9519358898928072,0.4759679449464036
Lord Thomas of Cwmgiedd,2,0,0.010059671444677678,0.005029835722338839
Lord Thomas of Cwmgiedd,2,1,0.010100252378181481,0.005050126189090741
Lord Thomas of Cwmgiedd,2,2,0.01008307399363396,0.00504153699681698
Lord Thomas of Cwmgiedd,2,3,1.0210038779178436,0.5105019389589218
Lord Thomas of Cwmgiedd,2,4,0.9487531242656634,0.4743765621328317
Mr Will Forster (Woking),2,0,0.0014909250886957462,0.0007454625443478731
Mr Will Forster (Woking),2,1,0.06469042822598874,0.03234521411299437
Mr Will Forster (Woking),2,2,0.0014846604430933281,0.0007423302215466641
Mr Will Forster (Woking),2,3,0.0014913950965075333,0.0007456975482537666
Mr Will Forster (Woking),2,4,1.9308425911457148,0.9654212955728574
Peter Grant (Glenrothes),2,0,0.4608992380822454,0.2304496190411227
Peter Grant (Glenrothes),2,1,0.8671625042371189,0.43358125211855947
Peter Grant (Glenrothes),2,2,0.0703731545938362,0.0351865772969181
Peter Grant (Glenrothes),2,3,0.6006920008134764,0.3003460004067382
Peter Grant (Glenrothes),2,4,0.0008731022733230508,0.0004365511366615254
The Lord Bishop of St Albans,2,0,0.45235835421704956,0.22617917710852478
The Lord Bishop of St Albans,2,1,1.5098905941002903,0.7549452970501451
The Lord Bishop of St Albans,2,2,0.006105557349774313,0.0030527786748871565
The Lord Bishop of St Albans,2,3,0.0062282633253516835,0.0031141316626758417
The Lord Bishop of St Albans,2,4,0.025417231007534236,0.012708615503767118
Tulip Siddiq (Hampstead and Kilburn),2,0,0.3314102194165492,0.1657051097082746
Tulip Siddiq (Hampstead and Kilburn),2,1,1.4183547525405409,0.7091773762702704
Tulip Siddiq (Hampstead and Kilburn),2,2,0.11041393807059018,0.05520696903529509
Tulip Siddiq (Hampstead and Kilburn),2,3,0.006678074291797906,0.003339037145898953
Tulip Siddiq (Hampstead and Kilburn),2,4,0.13314301568052195,0.06657150784026097
Alun Cairns (Vale of Glamorgan),2,0,0.7235184442786581,0.36175922213932904
Alun Cairns (Vale of Glamorgan),2,1,1.2647227661809322,0.6323613830904661
Alun Cairns (Vale of Glamorgan),2,2,0.0038856796516282426,0.0019428398258141213
Alun Cairns (Vale of Glamorgan),2,3,0.003941801874992766,0.001970900937496383
Alun Cairns (Vale of Glamorgan),2,4,0.003931308013788678,0.001965654006894339
Dr Kieran Mullan (Bexhill and Battle),2,0,0.0747214219027442,0.0373607109513721
Dr Kieran Mullan (Bexhill and Battle),2,1,0.5007302450076913,0.2503651225038456
Dr Kieran Mullan (Bexhill and Battle),2,2,0.0012413137641083276,0.0006206568820541638
Dr Kieran Mullan (Bexhill and Battle),2,3,0.11799016448586763,0.058995082242933816
Dr Kieran Mullan (Bexhill and Battle),2,4,1.3053168548395884,0.6526584274197942
The Economic Secretary to the Treasury (Andrew Griffith),2,0,0.3957004609709733,0.19785023048548664
The Economic Secretary to the Treasury (Andrew Griffith),2,1,1.5024901171948524,0.7512450585974262
The Economic Secretary to the Treasury (Andrew Griffith),2,2,0.0017626468939351092,0.0008813234469675546
The Economic Secretary to the Treasury (Andrew Griffith),2,3,0.09827625602183737,0.049138128010918686
The Economic Secretary to the Treasury (Andrew Griffith),2,4,0.0017705189184016082,0.0008852594592008041
Alex Norris (Nottingham North),1,0,0.0007693201695754223,0.0007693201695754223
Alex Norris (Nottingham North),1,1,0.0007724012133382267,0.0007724012133382267
Alex Norris (Nottingham North),1,2,0.9969103652361334,0.9969103652361334
Alex Norris (Nottingham North),1,3,0.0007721261982284218,0.0007721261982284218
Alex Norris (Nottingham North),1,4,0.0007757871827247327,0.0007757871827247327
Baroness Bowles of Berkhamsted,1,0,0.5326182794362603,0.5326182794362603
Baroness Bowles of Berkhamsted,1,1,0.4648436807910924,0.4648436807910924
Baroness Bowles of Berkhamsted,1,2,0.0008448242202964833,0.0008448242202964833
Baroness Bowles of Berkhamsted,1,3,0.0008482479449256776,0.0008482479449256776
Baroness Bowles of Berkhamsted,1,4,0.0008449676074253038,0.0008449676074253038
Gareth Davies,1,0,0.004460987130910296,0.004460987130910296
Gareth Davies,1,1,0.76328980646458,0.76328980646458
Gareth Davies,1,2,0.22331718755534613,0.22331718755534613
Gareth Davies,1,3,0.0045199504963985915,0.0045199504963985915
Gareth Davies,1,4,0.004412068352765129,0.004412068352765129
Kit Malthouse (North West Hampshire),1,0,0.39604743505440776,0.39604743505440776
Kit Malthouse (North West Hampshire),1,1,0.003225718462770067,0.003225718462770067
Kit Malthouse (North West Hampshire),1,2,0.2592285623335239,0.2592285623335239
Kit Malthouse (North West Hampshire),1,3,0.33827093680793585,0.33827093680793585
Kit Malthouse (North West Hampshire),1,4,0.0032273473413624654,0.0032273473413624654
Lord Balfe,1,0,0.6356340157021799,0.6356340157021799
Lord Balfe,1,1,0.0009833367616235878,0.0009833367616235878
Lord Balfe,1,2,0.0009728478909851653,0.0009728478909851653
Lord Balfe,1,3,0.3614270247087807,0.3614270247087807
Lord Balfe,1,4,0.0009827749364308,0.0009827749364308
Lord Forsyth of Drumlean,1,0,0.6193336627682826,0.6193336627682826
Lord Forsyth of Drumlean,1,1,0.3444911456537254,0.3444911456537254
Lord Forsyth of Drumlean,1,2,0.01206290125392709,0.01206290125392709
Lord Forsyth of Drumlean,1,3,0.012098875547773528,0.012098875547773528
Lord Forsyth of Drumlean,1,4,0.012013414776291514,0.012013414776291514
Lord Fox,1,0,0.007786997724029378,0.007786997724029378
Lord Fox,1,1,0.007770449957518171,0.007770449957518171
Lord Fox,1,2,0.007766443776055693,0.007766443776055693
Lord Fox,1,3,0.9689595199459725,0.9689595199459725
Lord Fox,1,4,0.007716588596424335,0.007716588596424335
Lord Northbrook,1,0,0.9751932327051182,0.9751932327051182
Lord Northbrook,1,1,0.0004343504642994733,0.0004343504642994733
Lord Northbrook,1,2,0.0235145551447962,0.0235145551447962
Lord Northbrook,1,3,0.0004298267213760923,0.0004298267213760923
Lord Northbrook,1,4,0.0004280349644101562,0.0004280349644101562
Lord Sharkey,1,0,0.0011654286755442172,0.0011654286755442172
Lord Sharkey,1,1,0.9157853513766502,0.9157853513766502
Lord Sharkey,1,2,0.0011722690683866354,0.0011722690683866354
Lord Sharkey,1,3,0.0011539080315838331,0.0011539080315838331
Lord Sharkey,1,4,0.08072304284783521,0.08072304284783521
Lord Vaux of Harrowden,1,0,0.7046164176923095,0.7046164176923095
Lord Vaux of Harrowden,1,1,0.2232092930805218,0.2232092930805218
Lord Vaux of Harrowden,1,2,0.0005692235742666405,0.0005692235742666405
Lord Vaux of Harrowden,1,3,0.0710192089519442,0.0710192089519442
Lord Vaux of Harrowden,1,4,0.0005858567009580572,0.0005858567009580572
Sarah Olney (Richmond Park),1,0,0.6000860142761089,0.6000860142761089
Sarah Olney (Richmond Park),1,1,0.2746841881047265,0.2746841881047265
Sarah Olney (Richmond Park),1,2,0.0005661001627244856,0.0005661001627244856
Sarah Olney (Richmond Park),1,3,0.0005730908798099585,0.0005730908798099585
Sarah Olney (Richmond Park),1,4,0.1240906065766303,0.1240906065766303
The First Deputy Chairman,1,0,0.10000362345927725,0.10000362345927725
The First Deputy Chairman,1,1,0.10000268742868751,0.10000268742868751
The First Deputy Chairman,1,2,0.5993168926959065,0.5993168926959065
The First Deputy Chairman,1,3,0.1006730353460006,0.1006730353460006
The First Deputy Chairman,1,4,0.10000376107012826,0.10000376107012826
"The Minister for Crime, Policing and Fire (Chris Philp)",1,0,0.010008970210387654,0.010008970210387654
"The Minister for Crime, Policing and Fire (Chris Philp)",1,1,0.010030112054034392,0.010030112054034392
"The Minister for Crime, Policing and Fire (Chris Philp)",1,2,0.9599106743144175,0.9599106743144175
"The Minister for Crime, Policing and Fire (Chris Philp)",1,3,0.01000798607626602,0.01000798607626602
"The Minister for Crime, Policing and Fire (Chris Philp)",1,4,0.010042257344894655,0.010042257344894655
Aaron Bell,1,0,0.0009364917691914994,0.0009364917691914994
Aaron Bell,1,1,0.9962543056956993,0.9962543056956993
Aaron Bell,1,2,0.0009348659032409909,0.0009348659032409909
Aaron Bell,1,3,0.0009425022461373769,0.0009425022461373769
Aaron Bell,1,4,0.0009318343857308487,0.0009318343857308487
Alex Norris,1,0,0.002513080742078025,0.002513080742078025
Alex Norris,1,1,0.002506778791128814,0.002506778791128814
Alex Norris,1,2,0.9899482288974412,0.9899482288974412
Alex Norris,1,3,0.002525509884208337,0.002525509884208337
Alex Norris,1,4,0.0025064016851437084,0.0025064016851437084
Anthony Browne,1,0,0.6953048800071194,0.6953048800071194
Anthony Browne,1,1,0.001180276159855747,0.001180276159855747
Anthony Browne,1,2,0.0011597045086203192,0.0011597045086203192
Anthony Browne,1,3,0.30118883012355246,0.30118883012355246
Anthony Browne,1,4,0.0011663092008519815,0.0011663092008519815
Baroness Bennett of Manor Castle (GP) [V],1,0,0.34124988008943197,0.34124988008943197
Baroness Bennett of Manor Castle (GP) [V],1,1,0.0007074574219446371,0.0007074574219446371
Baroness Bennett of Manor Castle (GP) [V],1,2,0.0007017541663970463,0.0007017541663970463
Baroness Bennett of Manor Castle (GP) [V],1,3,0.656634129443161,0.656634129443161
Baroness Bennett of Manor Castle (GP) [V],1,4,0.0007067788790654309,0.0007067788790654309
Baroness Greengross,1,0,0.004536872669797493,0.004536872669797493
Baroness Greengross,1,1,0.8152192224334565,0.8152192224334565
Baroness Greengross,1,2,0.17110845939920763,0.17110845939920763
Baroness Greengross,1,3,0.0045973695590204285,0.0045973695590204285
Baroness Greengross,1,4,0.004538075938517919,0.004538075938517919
Baroness Neville-Rolfe,1,0,0.38817737776417166,0.38817737776417166
Baroness Neville-Rolfe,1,1,0.5932579383848634,0.5932579383848634
Baroness Neville-Rolfe,1,2,0.006161989187359843,0.006161989187359843
Baroness Neville-Rolfe,1,3,0.006232159436037989,0.006232159436037989
Baroness Neville-Rolfe,1,4,0.00617053522756722,0.00617053522756722
Baroness Wheatcroft,1,0,0.013508988384859128,0.013508988384859128
Baroness Wheatcroft,1,1,0.49736688265001605,0.49736688265001605
Baroness Wheatcroft,1,2,0.013577957812845848,0.013577957812845848
Baroness Wheatcroft,1,3,0.46213322733395196,0.46213322733395196
Baroness Wheatcroft,1,4,0.01341294381832705,0.01341294381832705
Chris Vince (Harlow),1,0,0.015899998110559935,0.015899998110559935
Chris Vince (Harlow),1,1,0.9366302029207977,0.9366302029207977
Chris Vince (Harlow),1,2,0.015634546572278772,0.015634546572278772
Chris Vince (Harlow),1,3,0.015942921410650054,0.015942921410650054
Chris Vince (Harlow),1,4,0.015892330985713504,0.015892330985713504
Christina Rees (in the Chair),1,0,0.19349902615098138,0.19349902615098138
Christina Rees (in the Chair),1,1,0.022475924638256626,0.022475924638256626
Christina Rees (in the Chair),1,2,0.02263158855305485,0.02263158855305485
Christina Rees (in the Chair),1,3,0.7391075091960895,0.7391075091960895
Christina Rees (in the Chair),1,4,0.022285951461617676,0.022285951461617676
Daisy Cooper (St Albans),1,0,0.0023520948829428524,0.0023520948829428524
Daisy Cooper (St Albans),1,1,0.002336605185827894,0.002336605185827894
Daisy Cooper (St Albans),1,2,0.002348602962055514,0.002348602962055514
Daisy Cooper (St Albans),1,3,0.9906383012495457,0.9906383012495457
Daisy Cooper (St Albans),1,4,0.002324395719628064,0.002324395719628064
Dan Jarvis,1,0,0.001174774835447032,0.001174774835447032
Dan Jarvis,1,1,0.0011702205856572098,0.0011702205856572098
Dan Jarvis,1,2,0.9953082561202308,0.9953082561202308
Dan Jarvis,1,3,0.0011762609791937154,0.0011762609791937154
Dan Jarvis,1,4,0.0011704874794713042,0.0011704874794713042
Darren Jones,1,0,0.002187243826732352,0.002187243826732352
Darren Jones,1,1,0.0021750344878620725,0.0021750344878620725
Darren Jones,1,2,0.20215204702529094,0.20215204702529094
Darren Jones,1,3,0.7913221496021778,0.7913221496021778
Darren Jones,1,4,0.0021635250579368414,0.0021635250579368414
Dr Mullan,1,0,0.013559555433126268,0.013559555433126268
Dr Mullan,1,1,0.12243380832780544,0.12243380832780544
Dr Mullan,1,2,0.013637668498146663,0.013637668498146663
Dr Mullan,1,3,0.12528908794269028,0.12528908794269028
